Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
,"sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,"
"sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,,,"sample cell,","sample cell,",,,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,"
"sample cell,",,,"sample cell,","sample cell,",,,"sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,",,,"sample cell,","sample cell,",,,,,"sample cell,","sample cell,","sample cell,",,,"sample cell,"
"sample cell,",,"sample cell,","sample cell,","sample cell,",,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,",,,,,"sample cell,","sample cell,"
"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,",,,,"sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,,"sample cell,","sample cell,",,,"sample cell,"
"sample cell,",,,,,"sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,",,,,,,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,,"sample cell,",,"sample cell,",,"sample cell,","sample cell,"
,,,,"sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,,,,,,,,,,,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,"
,"sample cell,","sample cell,","sample cell,",,,,,,"sample cell,",,,,,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,",,,,,,"sample cell,",,
,,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,,,,,,,,,,,"sample cell,",,"sample cell,","sample cell,",,,"sample cell,",,"sample cell,"
"sample cell,","sample cell,",,,,,"sample cell,","sample cell,",,,"sample cell,",,,,"sample cell,","sample cell,","sample cell,",,,,,,,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,"
,,"sample cell,",,"sample cell,",,,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",
,"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,,"sample cell,","sample cell,",,
,,,"sample cell,","sample cell,",,,,,"sample cell,","sample cell,",,,"sample cell,",,,,,"sample cell,",,,,"sample cell,",,,,"sample cell,",,"sample cell,",
,,,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,"sample cell,",,,"sample cell,",,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,",
"sample cell,",,,,"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,,"sample cell,","sample cell,",,"sample cell,",,,"sample cell,",,"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,"
"sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,"sample cell,",,,,"sample cell,",,"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,",,"sample cell,","sample cell,",,,,"sample cell,",,"sample cell,"
,,,,"sample cell,","sample cell,",,,,"sample cell,",,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,,,,"sample cell,",,,"sample cell,",,,"sample cell,",
,"sample cell,","sample cell,","sample cell,","sample cell,",,,,,"sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,","sample cell,",,,,,"sample cell,","sample cell,"
,"sample cell,",,"sample cell,",,,"sample cell,",,,,,"sample cell,",,"sample cell,",,,,,,,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,"sample cell,",
"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,,,"sample cell,"
"sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,,,"sample cell,","sample cell,",,"sample cell,","sample cell,",,"sample cell,",,,"sample cell,",,,,"sample cell,","sample cell,",,,,"sample cell,",
,"sample cell,","sample cell,",,,"sample cell,",,"sample cell,",,"sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,,"sample cell,",,,,"sample cell,","sample cell,",,"sample cell,","sample cell,",,,
,"sample cell,","sample cell,","sample cell,",,,,,"sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,",,,,,,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,","sample cell,","sample cell,"
,,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,","sample cell,",,,,"sample cell,",,,"sample cell,",,"sample cell,","sample cell,",,"sample cell,",,"sample cell,"
"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,",,,,,"sample cell,",,"sample cell,","sample cell,",,"sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,",,"sample cell,","sample cell,"
,"sample cell,",,,,"sample cell,",,,"sample cell,",,,,"sample cell,",,"sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,","sample cell,","sample cell,",,,,"sample cell,",,"sample cell,","sample cell,"
,,"sample cell,",,,,"sample cell,",,"sample cell,",,,,"sample cell,",,"sample cell,",,"sample cell,","sample cell,",,"sample cell,","sample cell,","sample cell,",,,,,"sample cell,",,,
,"sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,",,,"sample cell,","sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,,,"sample cell,",,"sample cell,","sample cell,",,,,"sample cell,","sample cell,","sample cell,"
,,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,"sample cell,",,,,"sample cell,",,"sample cell,",,,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,"
,,,,"sample cell,",,"sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,","sample cell,",,"sample cell,",,"sample cell,",,"sample cell,","sample cell,","sample cell,",,,"sample cell,",,,,,,
